road_type,intersection_degree,distance_to_major_road
trunk,3,3.4476391630569143
residential,3,12.464152516515083
primary,4,7.572385428899737
secondary,1,7.945994730475862
trunk_link,5,1.5625462664675922
motorway,3,0.619154645237695
secondary,5,6.1072675024640715
tertiary,3,41.35496339792239
primary,4,0.4297992618943577
trunk,3,2.045629084774309
trunk,3,3.287838009176435
trunk,3,10.947235481733767
primary,3,7.5606262763675245
primary,3,26.22648069125359
primary,3,3.3875311623825763
tertiary,3,13.813787601085037
trunk,3,9.139541346879366
secondary,4,3.627910212008629
secondary,4,3.0251321747293898
secondary,4,0.5628149131972369
secondary,4,1.8047156336188108
residential,1,44.1731876134109
secondary,1,14.882543418042891
primary_link,3,2.2933226580575825
secondary,1,2.5698552561184766
primary,3,11.364520858885694
residential,3,52.796153053642314
residential,3,52.5309173663256
tertiary,3,541.4460205590368
tertiary,3,29.13580270915018
secondary,3,14.39058958097416
primary,4,6.041965274075724
secondary,3,0.5613953833199384
primary,3,5.605715524041116
trunk,3,2.007700682036385
tertiary,3,8.420238384215832
tertiary,3,5.8266894932526805
primary,3,3.7870871350450352
primary,3,0.1364627661820024
secondary,3,15.374540091912623
primary,3,10.262642621610556
trunk,3,1.5995935857722547
primary,3,0.15223429603148692
trunk,3,9.586609544959853
secondary,5,6.503891587561141
primary,3,2.7833018484602183
trunk,3,1.6615617943111918
primary_link,3,9.116405001130982
residential,3,157.31148565309292
primary,4,2.113978009524656
trunk,3,1.3788530750830592
trunk,4,4.043100850841187
primary,4,11.937673808853337
primary,4,1.4310043933346062
tertiary,3,32.390114570948185
trunk,3,9.312833223031868
primary,4,0.5665795877460393
tertiary,3,12.125663711053518
trunk_link,3,3.7882548729288312
primary,3,17.542731090886257
residential,3,7.031938174877331
trunk,1,3.3178646047450653
primary,4,2.3814991092330846
secondary,3,5.193071516422216
tertiary,3,8.961903350135417
tertiary,3,8.344554566109384
secondary,3,23.309103514986035
secondary,3,4.772570775169051
tertiary,4,8.007148909391224
secondary,4,1.0233424846752046
tertiary,3,8.832867396335224
secondary,4,3.6834469943789103
secondary,3,11.809068187620994
trunk,3,11.051317779198522
primary,1,9.630813355444966
primary,1,53.33900260928277
trunk,3,1.1585520913698704
primary,3,1.204886705019523
residential,3,13.528717422512068
residential,3,8.35302268793121
secondary,4,26.502274677531133
tertiary,2,140.8424591108031
primary,3,4.125252451464625
primary,4,2.072455610542451
tertiary,3,5.210236335560769
trunk,3,0.659372985964503
secondary,1,47.359716371307904
trunk,3,2.6671714305852086
tertiary,1,33.42425773415239
trunk,3,2.9702058432745932
tertiary,3,25.161523146466003
primary,4,0.7542840837652701
secondary,3,5.295965898289815
residential,3,9.39354685087324
secondary,3,1.3000470966327118
primary,3,7.376550741437989
secondary,3,3.3525825911984146
primary,3,3.875699346257507
tertiary,3,10.5302379415145
primary,4,0.28571770566237514
tertiary,3,50.647440818072994
primary,3,7.497083629526403
primary,3,6.217916865089141
primary,3,7.160461598122503
residential,4,287.27431554264587
residential,3,44.26163103743894
tertiary,3,13.982220111156256
primary,3,2.338894328163078
primary,3,3.734208473540291
trunk,1,2.056945428341561
trunk,1,3.578428190619435
trunk,3,4.385600056481792
primary,4,1.3260293979534745
primary,4,3.559622609682238
trunk,4,6.683650599119874
tertiary,3,9.519796400392714
tertiary,3,9.519796400392714
